,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
FSLR_vol_21,-0.03741845067034702,-0.07519329194102907,-0.04120589166164988,-0.0194384129617456,-0.11798469500296739,-0.12255938709149602,0.21061483965469432,0.04827074939168172,-0.00589121799883756,-0.05081135705581963,0.04887399611080485,-0.012366508043100672,0.10975977391042731,0.025565342504765394,0.14473901050506457
FTNT_vol_21,-0.0009756099675064265,-0.061069904239668904,-0.04131775585420906,0.04448196000724419,0.044499496125595665,0.0565435379982816,-0.030880592343041496,0.08802016499486855,-0.017235420493317843,0.11550158571592851,-0.03867610817577317,-0.014332019998715978,-0.0697421686432293,-0.21702216400137916,-0.11644193783013124
GDDY_vol_21,-0.024875040125802415,0.023601008746292257,0.037598680059770455,0.023904145200196528,0.0301944872593677,0.0358195639656571,-0.01358290270138324,0.04735857564264064,0.02629086194122474,0.07644803859772759,0.0110542254171933,0.024023845813206195,0.003098055631915165,-0.07053661120717208,0.019622766772233034
GIS_vol_21,-0.01845947955643321,0.04953524733293716,-0.01614884433013274,-0.01136574838741505,-0.003148411017960368,-0.037470490426472075,-0.0010948147609818233,0.031125825636115143,0.0076660533061999134,0.0015301978582957939,0.03803996080376124,0.0011859985234820504,-0.008156713248421758,0.0036260685758932455,-0.013568070132692716
GLW_vol_21,-0.011418095325711343,-0.020628204182689142,-0.0032826920890659133,0.017035428490026063,0.03535025172799231,-0.026208099978384795,-0.0017310045944554295,-0.03668636255451935,-0.009827614074914025,0.03222640312501523,0.014576320942457097,0.026610504838775702,0.015882590474551237,0.02243903659193736,-0.010312936770434914
GOOG_vol_21,0.005671303321786704,0.010816555892359013,-0.04806341460221165,0.0012317477838964539,0.02011202971575017,0.06962099533863712,0.013900975141288234,0.00799299738209422,-0.013479322507537578,0.06613821453582562,0.04877015309483235,-0.01359372419254821,-0.06023461767578546,0.005370080688316432,0.03924092124222327
GPN_vol_21,0.022122962435736047,0.014294401650605885,0.009489091651934208,0.012002469478000523,-0.015295440993970984,0.04730971936137172,0.02299190677372817,0.022546009020873895,-0.0436646748328294,0.013096331961727856,-0.03566501390525436,0.01909142730787254,0.0366762741174359,-0.008693402694654472,-0.06527740778296677
HCA_vol_21,-0.014263967551364365,-0.045488285316762564,0.018150333719364205,0.004265170075921671,0.022667917618931624,-0.003409580118483745,-0.021140428934125002,-0.03964988089084993,-0.013411901143923995,0.0037937379284796705,-0.120311200806294,-0.0016060396455895313,0.05447133758329026,-0.00588796122474204,0.06892572615199066
HIG_vol_21,0.004195404020245167,-0.09384717599440431,0.05198390439627265,0.0233717123669862,-0.006571230859292886,-0.05624657621570091,-0.004586175708310634,-0.05233287472106855,-0.030642523792437953,0.049322065279692996,-0.014730519792261126,-0.014799710133674752,0.005164933018232692,0.034960254740985415,-0.05809564225953255
HII_vol_21,-0.02063307930268282,0.012615691911736749,0.00021449544793898025,-0.008904805607437864,-0.013693866816425261,-0.052059452285410035,-0.04796003288355065,-0.01488432596257846,0.026276980642013354,0.07714064835924568,0.002760998380803231,0.012739526536122418,-0.061816066109021996,-0.023869974380514625,0.03304207426762082
HLT_vol_21,0.0027435910544170187,-0.023252289824309765,0.030692870720048594,-0.017303618315038533,0.02783476990113561,0.02692743969256441,0.004204908510838277,0.032401513367714345,0.02295364915704988,0.0028515263809351225,-0.004575965208560018,0.028030684826635243,0.005880732369850415,0.02689785998367538,-0.023649560996848517
HPE_vol_21,0.005328127399825954,0.031198140321039174,0.0076570513622926245,0.029970930835710737,-0.03291319768392214,-0.040899527972584455,-0.01899695041071204,-0.041760025128907564,0.028794072861197294,-0.035720429268437194,0.01722870360526203,0.059998883424416546,0.010545002123953871,0.020622075462317837,-0.022286039935948194
HRL_vol_21,-0.02737954455685187,0.036993687253169816,-0.011615316886303115,0.019702450564402,-0.06593296611791212,-0.022714707145003184,-0.013390365514015097,0.035291286604228304,0.04921960265633139,-0.06485726720856874,0.017023747909972062,0.009267748105704996,0.0026550507740283526,-0.043578890683660484,0.01596151358496952
HSIC_vol_21,0.008790385493886638,0.03345001029914786,0.009603431171828363,0.008034408310068774,0.0015239238521355834,-0.07667848126469452,-0.005051337745263915,0.024401588911913123,0.006065992236655077,0.06162662329009506,0.012657507019088292,-0.012799387138082558,0.013587317954061172,-0.015572083515338881,0.0495728643525009
HST_vol_21,0.0421093684284992,-0.030357542759502032,0.06833039390029472,-0.0003646175541978293,-0.00521113833607314,0.0018211323081436133,-0.011824079027002088,0.04415599545418413,-0.035005426111066745,0.004194365267257833,-0.014145520517276302,-0.01703058509659915,0.016949919032337748,0.005272674307868367,0.0003455002491268992
ICE_vol_21,-0.033825074606795104,-0.02033918844552287,-0.003203478066909362,-0.0014529066225954772,-0.012507332268574547,0.015715984064667066,-0.007040565401064895,0.006514835417672939,-0.0035069592490567063,0.0004285022774816808,-0.004782596842032976,-0.011903903168722573,0.006987426234740181,0.004480495279165741,-0.02362036140738739
IEX_vol_21,-0.009462964262772936,-0.020691389054230045,-0.00995738505425352,0.028167657978224226,0.012582446368702661,-0.0236248451202035,0.00513297760298984,0.0009137236048447003,-0.021253519909562018,0.00659598952344742,-0.010727741138164588,-0.011673511819613784,-0.013811842822293701,0.01963874806417117,-0.028507312488559325
IFF_vol_21,0.026034320828352827,0.03508964227412284,-0.02534768449103371,0.010398584318480416,0.016066529671183785,0.021156125164888694,0.02942851829481281,-0.021129163621955226,0.05550929667661772,-0.007875098665802438,0.04107196955194292,-0.13999345945552047,0.013820602095409312,-0.1316750779646489,-0.025310013617604835
INCY_vol_21,-0.14122315355422568,-0.0234390247878973,0.031375386772730586,-0.02749737166258474,-0.0463486545073158,-0.050110622508492735,0.016469473027128815,0.05354933730916209,0.016292665659576416,-0.008673448242501531,0.11023203230860393,0.0539222122258298,0.0505065538996373,0.0874237743053535,-0.04396737749196921
INVH_vol_21,-0.020404054607241748,-0.0348645614393069,0.014387216779153654,-0.005318194235963014,-0.046741207490804626,0.03430882575853694,-0.011154878814794465,-0.015147573632316924,-0.03195304416360829,-0.012291630272917749,-0.00888104316182167,-0.018140443945771963,0.018201226327916358,-0.02571260429656102,-0.006538943451020988
