,UMAP1,UMAP2
2013-10-03,-3.1358767,4.7844076
2013-10-04,-3.1080015,4.795357
2013-10-07,-3.0981457,4.7955146
2013-10-08,-3.0986943,4.7958946
2013-10-09,-3.0969312,4.7955847
2013-10-10,-3.092119,4.7971435
2013-10-11,-3.090809,4.798798
2013-10-14,-3.0534523,4.8138795
2013-10-15,-3.0010679,4.8336496
2013-10-16,-2.632782,4.9976916
2013-10-17,-2.5185103,5.0794806
2013-10-18,-2.311984,5.2522335
2013-10-21,-2.2578669,5.262896
2013-10-22,-2.2396798,5.3273687
2013-10-23,-2.3408606,5.6320806
2013-10-24,-2.2962928,5.698659
2013-10-25,-2.3319237,5.666162
2013-10-28,-2.3554847,5.706808
2013-10-29,-2.331183,5.7042675
2013-10-30,-2.3349562,5.6648235
2013-10-31,-2.3733451,5.5788617
2013-11-01,-2.491396,5.682768
2013-11-04,-2.4858637,5.6763906
2013-11-05,-2.431521,5.629739
2013-11-06,-2.2529795,5.347077
2013-11-07,-2.186631,5.3768167
2013-11-08,-2.2728007,5.545397
2013-11-11,-2.1729476,5.483737
2013-11-12,-2.1905215,5.4458356
2013-11-13,-2.1505694,5.391336
2013-11-14,-2.1377242,5.3781323
2013-11-15,-2.1404402,5.404075
2013-11-18,-2.1398299,5.395019
2013-11-19,-1.753538,5.339244
2013-11-20,-1.7493199,5.3208213
2013-11-21,-1.7239429,5.2671914
2013-11-22,-1.7601266,5.280865
2013-11-25,-1.7183651,5.330882
2013-11-26,-1.7376462,5.2966785
2013-11-27,-1.7599752,5.255447
2013-11-29,-1.8615663,5.3556533
2013-12-02,-1.8554548,5.336467
2013-12-03,-1.6781485,5.4831085
2013-12-04,-1.6413003,5.498457
2013-12-05,-1.7126588,5.4519286
2013-12-06,-1.6940572,5.5111947
2013-12-09,-1.7270457,5.406662
2013-12-10,-1.7282757,5.3765616
2013-12-11,-1.6722136,5.3884254
2013-12-12,-1.6995294,5.3528066
2013-12-13,-1.9087903,4.690604
2013-12-16,-1.9128592,4.720237
2013-12-17,-1.9138603,4.7037287
2013-12-18,-1.9676881,4.505815
2013-12-19,-1.9735863,4.4676123
2013-12-20,-1.9595705,4.435393
2013-12-23,-1.9744395,4.4144835
2013-12-24,-1.9547043,4.460076
2013-12-26,-1.985763,4.420856
2013-12-27,-1.9766384,4.4431777
