,regime
1970-01-01 00:00:00.939605400,1
1970-01-01 00:00:00.939691800,1
1970-01-01 00:00:00.939778200,1
1970-01-01 00:00:00.939864600,1
1970-01-01 00:00:00.939951000,1
1970-01-01 00:00:00.940210200,1
1970-01-01 00:00:00.940296600,1
1970-01-01 00:00:00.940383000,1
1970-01-01 00:00:00.940469400,1
1970-01-01 00:00:00.940555800,1
1970-01-01 00:00:00.940815000,1
1970-01-01 00:00:00.940901400,1
1970-01-01 00:00:00.940987800,1
1970-01-01 00:00:00.941074200,1
1970-01-01 00:00:00.941160600,1
1970-01-01 00:00:00.941419800,1
1970-01-01 00:00:00.941506200,1
1970-01-01 00:00:00.941592600,1
1970-01-01 00:00:00.941679000,1
1970-01-01 00:00:00.941765400,1
1970-01-01 00:00:00.942024600,1
1970-01-01 00:00:00.942111000,1
1970-01-01 00:00:00.942197400,1
1970-01-01 00:00:00.942283800,1
1970-01-01 00:00:00.942370200,1
1970-01-01 00:00:00.942629400,1
1970-01-01 00:00:00.942715800,1
1970-01-01 00:00:00.942802200,1
1970-01-01 00:00:00.942888600,1
1970-01-01 00:00:00.942975000,1
1970-01-01 00:00:00.943234200,1
1970-01-01 00:00:00.943320600,1
1970-01-01 00:00:00.943407000,1
1970-01-01 00:00:00.943493400,1
1970-01-01 00:00:00.943579800,1
1970-01-01 00:00:00.943839000,1
1970-01-01 00:00:00.943925400,1
1970-01-01 00:00:00.944011800,1
1970-01-01 00:00:00.944098200,1
1970-01-01 00:00:00.944184600,1
1970-01-01 00:00:00.944443800,1
1970-01-01 00:00:00.944530200,1
1970-01-01 00:00:00.944616600,1
1970-01-01 00:00:00.944703000,1
1970-01-01 00:00:00.944789400,1
1970-01-01 00:00:00.945048600,1
1970-01-01 00:00:00.945135000,1
1970-01-01 00:00:00.945221400,1
1970-01-01 00:00:00.945307800,1
1970-01-01 00:00:00.945394200,1
1970-01-01 00:00:00.945739800,1
1970-01-01 00:00:00.945826200,1
1970-01-01 00:00:00.945912600,1
